"unique_id","query"
"1","Aggron HS—Triumphant 001/102"
"2","Weedle Primal Clash 001/160"
"3","Ampharos Platinum 001/127"
"4","Ampharos Secret Wonders 001/132"
"5","Bulbasaur Detective Pikachu 001/018"
"6","Dratini Dragon Vault 001/020"
"7","Caterpie McDonald's Collection 2019 001/012"
"8","Absol G Supreme Victors 001/147"
"9","Aerodactyl Legend Maker 001/092"
"10","Absol Dragon 001/097"
"11","Venusaur Pokémon Rumble 001/016"
"12","Ampharos Aquapolis"
"13","Alakazam Base Set 2 001/130"
"14","Arcanine HeartGold & SoulSilver 001/123"
"15","Beedrill δ Delta Species 001/113"
"16","Azumarill Team Rocket Returns 001/109"
"17","Blaine's Moltres Gym Heroes 001/132"
"18","Aerodactyl Fossil 001/062"
"19","Celebi & Venusaur-GX Team Up 001/181"
"20","Caterpie Flashfire 001/106"
"21","Bastiodon POP Series 6 001/017"
"22","Arcanine Aquapolis"
"23","Altaria HS—Triumphant 002/102"
"24","Blastoise Platinum 002/127"
"25","Altaria Dragon 002/097"
"26","Blastoise Secret Wonders 002/132"
"27","Articuno Fossil 002/062"
"28","Blaziken FB Supreme Victors 002/147"
"29","Crobat δ Delta Species 002/113"
"30","Lucario POP Series 6 002/017"
"31","Metapod Flashfire 002/106"
"32","Blastoise Base Set 2 002/130"
"33","Brock's Rhydon Gym Heroes 002/132"
"34","Azumarill HeartGold & SoulSilver 002/123"
"35","Ludicolo Detective Pikachu 002/018"
"36","Weedle Team Up 002/181"
"37","Aggron Legend Maker 002/092"
"38","Dark Ampharos Team Rocket Returns 002/109"
"39","Cherrim Pokémon Rumble 002/016"
"40","Alolan Exeggutor McDonald's Collection 2019 002/012"
"41","Kakuna Primal Clash 002/160"
"42","Tangela Steam Siege 001/114"
"43","Banette Crystal Guardians 001/100"
"44","Venusaur & Snivy-GX Cosmic Eclipse 001/236"
"45","Snivy Black & White 001/114"
"46","Caterpie Hidden Fates 001/068"
"47","Mew Southern Islands 001/018"
"48","Dialga Diamond & Pearl 001/130"
"49","Caterpie Burning Shadows 001/147"
"50","Ampharos POP Series 7 001/017"
"51","Blaine's Arcanine Gym Challenge 001/132"
"52","Clefable Call of Legends 001/095"
"53","Blaziken Emerald 001/106"
"54","Surskit Plasma Blast 001/101"
"55","Venusaur V Champion's Path 001/073"
"56","Oddish Ancient Origins 001/098"
"57","Caterpie Sun & Moon 001/149"
"58","Armaldo δ Holon Phantoms 001/110"
"59","Dratini Dragon Vault 002/020"
"60","Ariados Aquapolis"
"61","Oddish Cosmic Eclipse 002/236"
"62","Deoxys Emerald 002/106"
"63","Snivy Black & White 002/114"
"64","Chansey Base Set 2 003/130"
"65","Ninetales Pokémon Rumble 003/016"
"66","Beedrill Primal Clash 003/160"
"67","Manaphy POP Series 6 003/017"
"68","Pidgeot Southern Islands 002/018"
"69","Dragonite δ Delta Species 003/113"
"70","Drifblim FB Supreme Victors 003/147"
"71","Ditto Fossil 003/062"
"72","Clefable HeartGold & SoulSilver 003/123"
"73","Cradily δ Holon Phantoms 002/110"
"74","Celebi HS—Triumphant 003/102"
"75","Gloom Ancient Origins 002/098"
"76","Masquerain Plasma Blast 002/101"
"77","Dark Crobat Team Rocket Returns 003/109"
"78","Cradily Legend Maker 003/092"
"79","Weedle Champion's Path 002/073"
"80","Blaine's Charizard Gym Challenge 002/132"
"81","Butterfree Flashfire 003/106"
"82","Tangrowth Steam Siege 002/114"
"83","Morelull Detective Pikachu 003/018"
"84","Crawdaunt Dragon 003/097"
"85","Dragonair Dragon Vault 003/020"
"86","Weedle Team Up 003/181"
"87","Gallade POP Series 7 002/017"
"88","Metapod Sun & Moon 002/149"
"89","Magmar McDonald's Collection 2019 003/012"
"90","Deoxys Call of Legends 002/095"
"91","Blaziken Platinum 003/127"
"92","Metapod Hidden Fates 002/068"
"93","Erika's Clefable Gym Heroes 003/132"
"94","Charizard Secret Wonders 003/132"
"95","Bellsprout Guardians Rising 001/145"
"96","Dark Alakazam Team Rocket 001/082"
"97","Venonat Phantom Forces 001/119"
"98","Tangela Legendary Treasures 001/113"
"99","Team Aqua's Cacturne Team Magma vs Team Aqua 001/095"
"100","Pinsir Next Destinies 001/099"
"101","Weedle Plasma Freeze 001/116"
"102","Alakazam Base 001/102"
"103","Blastoise POP Series 3 001/017"
"104","Blaziken Great Encounters 001/106"
"105","Oddish Boundaries Crossed 001/149"
"106","Altaria Deoxys 001/107"
"107","Bulbasaur Dark Explorers 001/108"
"108","Ho-Oh POP Series 5 001/017"
"109","Exeggcute Ultra Prism 001/156"
"110","Shuckle Fates Collide 001/124"
"111","Tangela Lost Thunder 001/214"
"112","Jirachi HS—Unleashed 001/095"
"113","Turtwig DP Black Star Promos"
"114","Celebi V Sword & Shield 001/202"
"115","Pikachu Wizards Black Star Promos"
"116","Weedle Vivid Voltage 001/185"
"117","Venusaur-EX XY 001/146"
"118","Blaziken POP Series 1 001/017"
"119","Turtwig Plasma Storm 001/135"
"120","Alakazam Legendary Collection 001/110"
"121","Garchomp POP Series 9 001/017"
"122","Chimecho δ POP Series 4 001/017"
"123","Dark Ampharos Neo Destiny 001/105"
"124","Ampharos Neo Revelation 001/064"
"125","Charizard Arceus 001/099"
"126","Alolan Sandshrew McDonald's Collection 2019 004/012"
"127","Butterfree Hidden Fates 003/068"
"128","Dragonite Fossil 004/062"
"129","Exploud Emerald 003/106"
"130","Latias POP Series 7 003/017"
"131","Pachirisu POP Series 6 004/017"
"132","Charmander Detective Pikachu 004/018"
"133","Team Aqua's Crawdaunt Team Magma vs Team Aqua 002/095"
"134","Gyarados HeartGold & SoulSilver 004/123"
"135","M Venusaur-EX XY 002/146"
"136","Beautifly Deoxys 002/107"
"137","Ivysaur Dark Explorers 002/108"
"138","Chimchar DP Black Star Promos"
"139","Weepinbell Guardians Rising 002/145"
"140","Deoxys δ POP Series 4 002/017"
"141","Gloom Boundaries Crossed 002/149"
"142","Venomoth Phantom Forces 002/119"
"143","Dialga Call of Legends 003/095"
"144","Delcatty Legend Maker 004/092"
"145","Tangrowth Legendary Treasures 002/113"
"146","Delcatty Platinum 004/127"
"147","Kakuna Champion's Path 003/073"
"148","Dark Arbok Team Rocket 002/082"
"149","Azumarill Aquapolis"
"150","Dark Crobat Neo Destiny 002/105"
"151","Flygon Dragon 004/097"
"152","Pineco Flashfire 004/106"
"153","Lugia POP Series 5 002/017"
"154","Articuno Legendary Collection 002/110"
"155","Dragonair Dragon Vault 004/020"
"156","Espeon δ Delta Species 004/113"
